Entity,Code,Year,
A股纳入MSCI指数,A股,1520352000,2.802
A股纳入MSCI指数,A股,1520438400,2.692
A股纳入MSCI指数,A股,1520524800,2.699
A股纳入MSCI指数,A股,1520611200,2.556
A股纳入MSCI指数,A股,1520697600,2.654
A股纳入MSCI指数,A股,1520784000,2.731
A股纳入MSCI指数,A股,1520870400,2.686
A股纳入MSCI指数,A股,1520956800,2.608
A股纳入MSCI指数,A股,1521043200,2.542
A股纳入MSCI指数,A股,1521129600,2.521
A股纳入MSCI指数,A股,1521216000,2.395
A股纳入MSCI指数,A股,1521302400,2.366
A股纳入MSCI指数,A股,1521388800,2.404
A股纳入MSCI指数,A股,1521475200,2.333
A股纳入MSCI指数,A股,1521561600,2.301
A股纳入MSCI指数,A股,1521648000,2.252
A股纳入MSCI指数,A股,1521734400,2.23
A股纳入MSCI指数,A股,1521820800,2.145
A股纳入MSCI指数,A股,1521907200,2.168
A股纳入MSCI指数,A股,1521993600,2.014
A股纳入MSCI指数,A股,1522080000,1.925
A股纳入MSCI指数,A股,1522166400,1.875
A股纳入MSCI指数,A股,1522252800,1.815
A股纳入MSCI指数,A股,1522339200,1.755
A股纳入MSCI指数,A股,1522425600,1.68
A股纳入MSCI指数,A股,1522512000,1.715
A股纳入MSCI指数,A股,1522598400,1.704
A股纳入MSCI指数,A股,1522684800,1.696
A股纳入MSCI指数,A股,1522771200,1.703
A股纳入MSCI指数,A股,1522857600,1.691
A股纳入MSCI指数,A股,1522944000,1.786
A股纳入MSCI指数,A股,1523030400,1.772
A股纳入MSCI指数,A股,1523116800,1.82
A股纳入MSCI指数,A股,1523203200,1.878
A股纳入MSCI指数,A股,1523289600,1.936
A股纳入MSCI指数,A股,1523376000,1.981
A股纳入MSCI指数,A股,1523462400,1.963
A股纳入MSCI指数,A股,1523548800,2.018
A股纳入MSCI指数,A股,1523635200,2.053
A股纳入MSCI指数,A股,1523721600,2.111
A股纳入MSCI指数,A股,1523808000,2.177
A股纳入MSCI指数,A股,1523894400,2.221
A股纳入MSCI指数,A股,1523980800,2.288
A股纳入MSCI指数,A股,1524067200,2.293
A股纳入MSCI指数,A股,1524153600,2.266
A股纳入MSCI指数,A股,1524240000,2.171
A股纳入MSCI指数,A股,1524326400,2.212
A股纳入MSCI指数,A股,1524412800,2.322
A股纳入MSCI指数,A股,1524499200,2.313
A股纳入MSCI指数,A股,1524585600,2.386
A股纳入MSCI指数,A股,1524672000,2.405
A股纳入MSCI指数,A股,1524758400,2.435
A股纳入MSCI指数,A股,1524844800,2.418
A股纳入MSCI指数,A股,1524931200,2.558
A股纳入MSCI指数,A股,1525017600,2.636
A股纳入MSCI指数,A股,1525104000,2.62
A股纳入MSCI指数,A股,1525190400,2.595
A股纳入MSCI指数,A股,1525276800,2.512
A股纳入MSCI指数,A股,1525363200,2.712
A股纳入MSCI指数,A股,1525449600,2.73
A股纳入MSCI指数,A股,1525536000,3.024
A股纳入MSCI指数,A股,1525622400,3.003
A股纳入MSCI指数,A股,1525708800,2.895
A股纳入MSCI指数,A股,1525795200,2.853
A股纳入MSCI指数,A股,1525881600,2.745
A股纳入MSCI指数,A股,1525968000,2.706
A股纳入MSCI指数,A股,1526054400,2.64
A股纳入MSCI指数,A股,1526140800,2.601
A股纳入MSCI指数,A股,1526227200,2.489
A股纳入MSCI指数,A股,1526313600,2.523
A股纳入MSCI指数,A股,1526400000,2.703
A股纳入MSCI指数,A股,1526486400,2.782
A股纳入MSCI指数,A股,1526572800,2.863
A股纳入MSCI指数,A股,1526659200,2.681
A股纳入MSCI指数,A股,1526745600,2.74
A股纳入MSCI指数,A股,1526832000,2.555
A股纳入MSCI指数,A股,1526918400,2.601
A股纳入MSCI指数,A股,1527004800,2.657
A股纳入MSCI指数,A股,1527091200,2.72
A股纳入MSCI指数,A股,1527177600,2.782
A股纳入MSCI指数,A股,1527264000,2.841
A股纳入MSCI指数,A股,1527350400,2.886
A股纳入MSCI指数,A股,1527436800,2.991
A股纳入MSCI指数,A股,1527523200,3.011
A股纳入MSCI指数,A股,1527609600,2.932
A股纳入MSCI指数,A股,1527696000,2.783
A股纳入MSCI指数,A股,1527782400,2.721
A股纳入MSCI指数,A股,1527868800,2.629
A股纳入MSCI指数,A股,1527955200,2.612
A股纳入MSCI指数,A股,1528041600,2.554
A股纳入MSCI指数,A股,1528128000,2.503
A股纳入MSCI指数,A股,1528214400,2.467
A股纳入MSCI指数,A股,1528300800,2.462
A股纳入MSCI指数,A股,1528387200,2.41
A股纳入MSCI指数,A股,1528473600,2.313
A股纳入MSCI指数,A股,1528560000,2.2
A股纳入MSCI指数,A股,1528646400,2.271
A股纳入MSCI指数,A股,1528732800,2.269
A股纳入MSCI指数,A股,1528819200,2.287
A股纳入MSCI指数,A股,1528905600,2.283
A股纳入MSCI指数,A股,1528992000,2.298
A股纳入MSCI指数,A股,1529078400,2.315
A股纳入MSCI指数,A股,1529164800,2.423
A股纳入MSCI指数,A股,1529251200,2.498
A股纳入MSCI指数,A股,1529337600,2.55
A股纳入MSCI指数,A股,1529424000,2.564
A股纳入MSCI指数,A股,1529510400,2.563
A股纳入MSCI指数,A股,1529596800,2.558
A股纳入MSCI指数,A股,1529683200,2.559
A股纳入MSCI指数,A股,1529769600,2.669
A股纳入MSCI指数,A股,1529856000,2.81
A股纳入MSCI指数,A股,1529942400,2.796
A股纳入MSCI指数,A股,1530028800,2.777
A股纳入MSCI指数,A股,1530115200,2.728
A股纳入MSCI指数,A股,1530201600,2.689
A股纳入MSCI指数,A股,1530288000,2.564
A股纳入MSCI指数,A股,1530374400,2.579
A股纳入MSCI指数,A股,1530460800,2.512
A股纳入MSCI指数,A股,1530547200,2.445
A股纳入MSCI指数,A股,1530633600,2.387
A股纳入MSCI指数,A股,1530720000,2.364
A股纳入MSCI指数,A股,1530806400,2.333
A股纳入MSCI指数,A股,1530892800,2.243
A股纳入MSCI指数,A股,1530979200,2.248
A股纳入MSCI指数,A股,1531065600,2.219
A股纳入MSCI指数,A股,1531152000,2.161
A股纳入MSCI指数,A股,1531238400,2.133
A股纳入MSCI指数,A股,1531324800,2.109
A股纳入MSCI指数,A股,1531411200,2.128
A股纳入MSCI指数,A股,1531497600,2.107
A股纳入MSCI指数,A股,1531584000,2.212
A股纳入MSCI指数,A股,1531670400,2.156
A股纳入MSCI指数,A股,1531756800,2.162
A股纳入MSCI指数,A股,1531843200,2.164
A股纳入MSCI指数,A股,1531929600,2.137
A股纳入MSCI指数,A股,1532016000,2.12
A股纳入MSCI指数,A股,1532102400,2.102
A股纳入MSCI指数,A股,1532188800,2.179
A股纳入MSCI指数,A股,1532275200,2.193
A股纳入MSCI指数,A股,1532361600,2.199
A股纳入MSCI指数,A股,1532448000,2.174
A股纳入MSCI指数,A股,1532534400,2.216
A股纳入MSCI指数,A股,1532620800,2.215
A股纳入MSCI指数,A股,1532707200,2.179
A股纳入MSCI指数,A股,1532793600,2.238
A股纳入MSCI指数,A股,1532880000,2.231
A股纳入MSCI指数,A股,1532966400,2.237
A股纳入MSCI指数,A股,1533052800,2.232
A股纳入MSCI指数,A股,1533139200,2.216
A股纳入MSCI指数,A股,1533225600,2.225
A股纳入MSCI指数,A股,1533312000,2.197
